y
158233
157389
156587
156082
155676
155377
155204
155121
155027
155010
155045
155232
155480
155740
155923
156111
156350
156629
156938
157262
157655
158051
158540
158915
158754
158233
157839
157704
157601
157495
157569
157578
157631
157701
157865
158064
158264
158511
158744
159075
159303
159508
159941
160288
160321
159943
159355
158965
158773
158718
158710
158607
158540
158370
158349
158396
158434
158550
158618
158766
158880
159042
159242
159354
159392
159003
158569
158328
158184
158119
158180
158266
158280
158325
158418
158574
158732
158888
159129
159321
159515
159757
160081
160378
160561
160643
160308
159857
159557
159434
159245
159283
159328
159305
159355
159425
159516
159702
159893
160111
160327
160526
160802
161091
161376
161628
161966
161969
161509
161098
160876
160774
160720
160661
160578
160459
160352
160190
160212
160308
160559
160730
160936
161061
161180
161344
161485
161653
161318
160740
160182
159892
159734
159613
159589
159555
159484
159415
159438
159514
159578
159717
159843
160057
160217
160375
160447
160113
159401
158843
158513
158356
158216
158128
158100
158023
157982
158029
158150
158300
158480
158644
158877
159043
159215
159511
159618
159323
158677
158146
157874
157744
157587
157525
157514
157519
157488
157557
157732
157922
158108
158338
158546
158815
159029
159281
159501
159878
159849
159404
158882
158550
158393
158347
